Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Comment,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
4876061,REFACTORS,refactors,,,,epic,,,"Dec 9, 2021",,,,Refactor involves refactoring the front end code and moving the game variables to the backend. The file structure is modularized.,https://www.pivotaltracker.com/epic/show/4876061,,,,,,,,,,,,,,,,,,,,,,,,
4876052,LEADERBOARD,leaderboard,,,,epic,,,"Dec 9, 2021",,,,"The leaderboard page can be viewed by the user after login. At the end of a game, the player's top score is featured on the global leaderboard. Every category has an individual leaderboard on the leaderboard page.",https://www.pivotaltracker.com/epic/show/4876052,,,,,,,,,,,,,,,,,,,,,,,,
4876049,GAMEPLAY ELEMENTS,gameplay elements,,,,epic,,,"Dec 9, 2021",,,,Gameplay elements are featured on the 'Play' page of the application. These features give the players a smooth quizzing experience.,https://www.pivotaltracker.com/epic/show/4876049,,,,,,,,,,,,,,,,,,,,,,,,
4876045,PLAYER PROFILE,player profile,,,,epic,,,"Dec 9, 2021",,,,"The 'Player Profile' page in the app reflects the user's details like  username, top scores and email. Users can edit their email, username and password through the profile page. ",https://www.pivotaltracker.com/epic/show/4876045,,,,,,,,,,,,,,,,,,,,,,,,
4876038,SUPERUSER FUNCTIONS,superuser functions,,,,epic,,,"Dec 9, 2021",,,,A superuser is a privileged account which is primarily used for administration. These privileges include deleting leaderboard scores and manipulating questions in the questions database ,https://www.pivotaltracker.com/epic/show/4876038,,,,,,,,,,,,,,,,,,,,,,,,
179875829,Allow the player to start the trivia game by clicking on the 'Start Game' button,"front end, gameplay elements, ui",1,"Oct 11, 2021","Oct 17, 2021",feature,1,accepted,"Oct 9, 2021","Oct 16, 2021",,Kun Mo,"As a player, I want to have a play button to start the game, so that the I can easily start the game play.",https://www.pivotaltracker.com/story/show/179875829,Kun Mo,,,"Given a start game button is available, when the player clicks on the button, then the system will find the questions with the category that player selected, and pull them to the game page one-by-one. (Kun Mo - Oct 11, 2021)","Given an action of start game button is available, when the player clicks on the button, then the button will be active and display the questions and options, and activate timer , after that the button and the category selection will disappear together. (Kun Mo - Oct 11, 2021)",,Create a start game button and UI(KM) - 1 hr,completed,Put the button on the right place of play page by using css(KM) - 1 hr,completed,Write the logical class for the start game button(KM) - 2 hr,completed,Test the start game button and make sure the button is working(KM) - 2 hr,completed,,,,,,,,,,
179875821,Trivia Game has questions for player to play,"backend, front end, gameplay elements, ui",1,"Oct 11, 2021","Oct 17, 2021",feature,3,accepted,"Oct 9, 2021","Oct 16, 2021",,Kun Mo,"As a user, I can play a single player trivia game, answering questions until the user gets three questions wrong",https://www.pivotaltracker.com/story/show/179875821,dmakover,,,"Given the questions at the game page is available, when the players start the game play, then the system should pull the right questions from selected category and show the questions correctly at the game page. (Kun Mo - Oct 11, 2021)","Given the options at the game page is available, when the players start the game play, then the system should pull the right options from specific questions and show all options correctly at the game page. (Kun Mo - Oct 11, 2021)",,Create some questions UI at the play page(DM) - 1 hr,completed,Import Quesitons from csv file(DM) -1hr,completed,make file compatabiltiy accross systems (DM) -2hr,completed,Make the system correctly pull the questions and show in the play page(DM) - 3 hr,completed,,,,,,,,,,
179860568,Only one attempt allowed for each question,"backend, database, front end, gameplay elements",1,"Oct 11, 2021","Oct 17, 2021",feature,2,accepted,"Oct 8, 2021","Oct 16, 2021",,haoyi_zhu,"As a player, I want to have only one attempt for each question, so that all players can not try the answer as many times as we want, all players can not just try out all the answers ",https://www.pivotaltracker.com/story/show/179860568,haoyi_zhu,gunnar2,,"Given the player a color at the background of the answer they selected, when the user selected no matter the correct answer or wrong answer, then the change of color for the answer shows green means answer right, and red shows wrong. (haoyi_zhu - Oct 8, 2021)","Given a ""next"" button is available, when the player answered the question and click on the ""next"" button, then the page will lead the player to next question by loading a different question from the database to replace the previous one. (haoyi_zhu - Oct 8, 2021)",,Create Answer check function: using JS code to check if the user selection match correct answer or not(HZ) -1h,completed,"Create question locked function: if the user submits one answer, the question will be locked, the user is not able to change the answer anymore.(HZ) -1h",completed,Create random function for each question's answer listing order(GN). -1hr,completed,"Create color change, change the color to red for wrong answers' background, green for the right answer(HZ) -0.5hr",completed,"Create a ""Submit/Next"" buttom get into next question(HZ) -1.5hr",completed,"Create an alert for ""Submit"" button, when player click submit before  select an option, alert will shows up(HZ) -1hr",completed,,,,,,
179728109,Allow user to keep score ,"front end, gameplay elements, ui",1,"Oct 11, 2021","Oct 17, 2021",feature,2,accepted,"Sep 27, 2021","Oct 16, 2021",,weiye_xu,"As a player, I want to know the number of questions so that I can know how many questions they've answered.
",https://www.pivotaltracker.com/story/show/179728109,heli kolambekar,weiye_xu,abelwu,"Given a counting number display in a correct position when a user playing the game and answer the question. Then it will keep displaying in the same position during the game playing. (weiye_xu - Oct 8, 2021)","Given a counting number that is able to count the number of questions that the user answered when the user playing the game during the game. Then it will continue counting while the user answers questions during the game playing. (weiye_xu - Oct 8, 2021)",,Create the basic counting class and funtion (WX) - 1.0h,completed,Create and display the basic counting design UI in the webpage (WX) - 1.0h,completed,Create the Logic that able to count the number of questins correct and display it correctly during the game playing. (WX) -1.0h,completed,Find and design a better design for the Counting number UI ie 30 second CLOCK. (WX) -1.0h,completed,Integrate the counting function into the project and test it. (GN) - 1.0h,completed,,,,,,,,
179727557,Allow user to quit game session by clicking on the 'end game' button,"front end, gameplay elements, ui",1,"Oct 11, 2021","Oct 17, 2021",feature,1,accepted,"Sep 27, 2021","Oct 16, 2021",,gunnar2,As a player I want to be able to quit the game so that I may stop playing immediately or start a new game.,https://www.pivotaltracker.com/story/show/179727557,gunnar2,dmakover,,"Given I am playing the trivia game when I click the quit button then the game is ended (without score being recorded) and I am returned to the main menu
 (gunnar2 - Oct 7, 2021)","Given I have just quit the trivia game when I start a new game then all properties of the game (remaining lives, available lifelines, score) are at the expected value when starting a new game [no leftover information from the previous game state]. (gunnar2 - Oct 7, 2021)",,"Be able to initiate the trivia game page [This is a prerequisite, and the effort is not considered as part of this task]-(DM)-01hr",completed,Create the logic to stop a currently active game session and remove any information related to that instance of the game(DM). - 1 hr,completed,Create the interface button which permits someone to activate the logic which quits the game session [This may be hidden in a menu - scope not considered here] - (GN) 1 hr ,completed,Conduct unit testing which ensures that the game session is properly ended (GN) - 1 hr,completed,Integrate feature into the game and conduct feature testing(GN) - 1 hr,completed,,,,,,,,
